Trade_ID,Execution_Status,Outcome_Basis,Date,Ticker,Signal,Confidence,Sector,Source,Entry_Price,Realistic_Entry,Stop_Price,Target_Price,Shares,Cost_Basis,RR,Portfolio_Value,Cash_At_Entry,Position_Size_Pct,Open_Positions,VIX,VIX_Regime,QQQ_Trend,SPY_Day_Pct,RSI,Earnings_Days_Away,Congress,Congress_Days_Ago,Insider,Options,Analyst_Rating,Upside_Pct,Short_Pct_Float,Reasoning,Key_Risk,Bear_Case,Close_Date,Close_Price,Close_Reason,Return_Pct,vs_QQQ_10d,Result,Watch_Score
,SIGNAL,hypothetical_excess_return,2026-09-11,BIIB,WATCH,74,Healthcare,BOTH,217.15,,208.59,234.28,,,2.0,10152.74,8062.44,,1,15.84,LOW (p23 risk-on),BULLISH,0.8524287494320992,50.5,48,NEUTRAL,,NEUTRAL,NEUTRAL,1.8,9.2,4.3,"BIIB has a strong news score of 33 and a tech score of 28, indicating a high likelihood of continued upward momentum. However, the stock has a short ratio of 7.4, which could be a risk.","The key risk is the high short ratio, which could lead to a short squeeze and negatively impact the stock.",,,,,,,Pending,74
,SIGNAL,hypothetical_excess_return,2026-09-14,DRI,WATCH,74,Consumer Cyclical,TECHNICAL,218.57,,210.68,234.35,,,2.0,10132.84,8062.44,,1,17.1,MODERATE (p49 neutral),BEARISH,-0.446162221482016,43.0,10,NEUTRAL,,BUYING,NEUTRAL,1.9,5.8,7.9,"Darden Restaurants is expected to beat street estimates for its fiscal first-quarter same-store sales and earnings per share, leading to a 5-8% increase in its stock price over the next 4 weeks.","The Olive Garden drag may continue to impact Darden Restaurants' sales, causing a 3-5% decline in its stock price over the next 4 weeks.",,,,,,,Pending,74
,SIGNAL,hypothetical_excess_return,2026-09-16,AFL,WATCH,74,Financial Services,NEWS,116.81,,114.16,122.12,,,2.0,10025.74,10025.74,,0,17.71,MODERATE (p59 neutral),BEARISH,-0.4409916675517711,47.3,48,NEUTRAL,,BUYING,NEUTRAL,,1.5,2.8,"AFL's recent 29% revenue surge and record revenue make it an attractive option, but a decline in revenue growth or a failure to meet earnings expectations could impact the stock's price.",A decline in revenue growth could reduce demand for AFL's services.,,,,,,,Pending,74
,SIGNAL,hypothetical_excess_return,2026-09-16,DHR,WATCH,72,Healthcare,NEWS,208.36,,200.19,224.71,,,2.0,10025.74,10025.74,,0,17.71,MODERATE (p59 neutral),BEARISH,-0.4409916675517711,40.0,33,NEUTRAL,,BUYING,NEUTRAL,1.5,9.9,1.5,"DHR's recent 3.9% 5-day momentum could sustain near-term growth, but a decline in revenue growth or a failure to meet earnings expectations could impact the stock's price.",A decline in revenue growth could reduce demand for DHR's services.,,,,,,,Pending,72
,SIGNAL,hypothetical_excess_return,2026-09-17,CNC,WATCH,74,Healthcare,NEWS,67.1,,63.38,74.54,,,2.0,74740.92,74740.92,,0,15.44,LOW (p15 risk-on),BULLISH,1.1391817518732197,54.8,40,NEUTRAL,,BUYING,NEUTRAL,2.4,7.0,3.1,CNC's strong 5-day momentum (1.02%) and high analyst consensus make it a candidate to watch in the next 1-4 weeks.,A decline in Medicaid enrollment could impact CNC's revenue and lead to a decline in its stock price.,,,,,,,Pending,74
,SIGNAL,hypothetical_excess_return,2026-09-18,ANET,WATCH,82,Technology,NEWS,199.39,,187.75,222.67,,,2.0,99802.68,74740.92,,1,14.81,LOW (p7 risk-on),BULLISH,-0.1337459351725578,55.8,46,NEUTRAL,,BUYING,NEUTRAL,1.3,20.9,1.4,"ANET is a strong momentum stock with a 5-day momentum of 13.46% and insider buying activity. However, the stock's RSI is slightly above 70, which may indicate that it is overbought.",The key risk is that the stock may experience a pullback if there is a sudden shift in market sentiment.,,,,,,,Pending,82
,SIGNAL,hypothetical_excess_return,2026-09-18,GILD,WATCH,74,Healthcare,BOTH,149.99,,145.28,159.41,,,2.0,99802.68,74740.92,,1,14.81,LOW (p7 risk-on),BULLISH,-0.1337459351725578,61.2,41,NEUTRAL,,BUYING,NEUTRAL,1.8,5.4,1.9,"GILD is a good candidate due to its recent HIV growth platform expansion and takeover rumors, which may support the stock's price.",The stock's high short ratio of 3.6 and short pct float of 1.9 may indicate a potential short squeeze risk.,,,,,,,Pending,74
,SIGNAL,hypothetical_excess_return,2026-09-18,IQV,WATCH,74,Healthcare,TECHNICAL,266.56,,257.41,284.86,,,2.0,99802.68,74740.92,,1,14.81,LOW (p7 risk-on),BULLISH,-0.1337459351725578,61.8,45,NEUTRAL,,BUYING,NEUTRAL,1.4,4.3,2.7,"IQV is poised for a 1-4 week rally due to accelerating organic growth and robust R&DS bookings, which are strengthening demand visibility and business momentum.","A bear case for IQV in the next 4 weeks could be a surprise earnings miss, which could lead to a decline in the stock price.",,,,,,,Pending,74
,SIGNAL,hypothetical_excess_return,2026-09-21,META,WATCH,74,Communication Services,NEWS,741.29,,700.77,822.32,,,2.0,100584.9,60082.1,,2,14.87,LOW (p8 risk-on),BULLISH,1.5624589690396815,77.7,37,NEUTRAL,,BUYING,NEUTRAL,1.3,1.9,1.3,"META exhibits powerful momentum with a 5-day gain of +10.6% and RSI 77.7, supporting further upside in the next weeks.",Any negative sentiment around big-tech regulation or a pullback in ad spending could reverse gains quickly.,,,,,,,Pending,74
,SIGNAL,hypothetical_excess_return,2026-09-21,HPE,WATCH,74,Technology,NEWS,61.76,,55.46,74.36,,,2.0,100584.9,60082.1,,2,14.87,LOW (p8 risk-on),BULLISH,1.5624589690396815,60.6,-20,NEUTRAL,,BUYING,NEUTRAL,2.0,9.2,4.7,"HPE is a watch candidate due to its moderate momentum and potential catalysts such as new product releases and partnerships. However, the company's relatively low volatility and lack of strong recent performance make it a less attractive investment opportunity compared to ILMN.","The key risk for HPE is a decline in the company's revenue growth rate, which could be triggered by increased competition or regulatory changes.",,,,,,,Pending,74
,SIGNAL,hypothetical_excess_return,2026-09-21,FTNT,WATCH,73,Technology,NEWS,175.26,,165.13,195.51,,,2.0,100584.9,60082.1,,2,14.87,LOW (p8 risk-on),BULLISH,1.5624589690396815,62.4,43,NEUTRAL,,BUYING,NEUTRAL,2.8,-6.2,2.2,"FTNT is a watch candidate due to its strong recent performance and potential catalysts such as new product releases and partnerships. However, the company's relatively high volatility and lack of low momentum make it a less attractive investment opportunity compared to ILMN.","The key risk for FTNT is a decline in the company's revenue growth rate, which could be triggered by increased competition or regulatory changes.",,,,,,,Pending,73
